Location,Virtual Account Name,Virtual Account Link,Relationship Link,Rule Name,Rule Formula,Variable Name,Source Name,Source Link,Source Apportionment,Effective From YYYY-MM-DD,Effective To YYYY-MM-DD,nz_copy,source_style,source_supplier,source_location,source_replaced_on,identifier,targets_on_same_source_link,targets_on_same_source_name,source_number_at_n_open_locations,open_accounts_on_identifier,source_months_with_kwh,target_months_with_kwh,source_kwh_JulAug,target_kwh_JulAug,target_tco2e_JulAug,target_kwh_MarJun,target_tco2e_MarJun,target_factor_JulAug,flags
Bitumen - Taranaki,Copy of Eco_ICP_0001510110PCCA2_CERTS,6397556,88,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0001510110PCCA2,6223433,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Bitumen - Taranaki,,0001510110PCCA2,1,1,1,Eco_ICP_0001510110PCCA2,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",143609.0,0.0,0.0,292787.0,-29.61,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
"BOP Omanawa - 345 Matakokiri Drive, Tauranga",Copy of Eco_ICP_1000610486PC18D_CERTS,6397557,89,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1000610486PC18D,6223442,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,"BOP Omanawa - 345 Matakokiri Drive, Tauranga",,1000610486PC18D,1,1,1,Eco_ICP_1000610486PC18D,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",53956.0,0.0,0.0,100754.0,-10.19,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hamilton Depot,Copy of Eco_ICP_0000031643WEA48_CERTS,6397558,90,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000031643WEA48,6223434,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hamilton Depot,,0000031643WEA48,1,1,1,Eco_ICP_0000031643WEA48,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",30195.0,0.0,0.0,61950.0,-6.26,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hastings Depot,Copy of Eco_ICP_0000015023HBABD_CERTS,6400408,112,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000015023HBABD,6223435,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hastings Depot,,0000015023HBABD,1,1,1,Eco_ICP_0000015023HBABD,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",4581.0,0.0,0.0,9947.0,-1.01,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hastings Depot,Copy of Eco_ICP_0000024050WE5E2_CERTS,6397567,99,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000024050WE5E2,6391000,100.0000,,,True,Electricity – purchased from grid [kWh],,Hastings Depot,,0000024050WE5E2,1,1,2,Eco_ICP_0000024050WE5E2,"Mar26,Apr26,May26,Jun26,Jul26","Mar26,Apr26,May26,Jun26",48669.0,0.0,0.0,191537.0,-19.37,,"NZ 'Copy of' name, no Effective From; source account number exists at more than one open location; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
Hawkins Construction Recharges,Copy of Eco_ICP_0141534532LCA70_CERTS,6397561,93,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0141534532LCA70,6287770,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hawkins Construction Recharges,,0141534532LCA70,1,1,1,Eco_ICP_0141534532LCA70,none,none,0.0,0.0,0.0,0.0,0.0,,"NZ 'Copy of' name, no Effective From; source has no kWh in Mar-Aug 26 export"
Hawkins Construction Recharges,Copy of Eco_ICP_1002147325UN75B_CERTS,6397560,92,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_1002147325UN75B,6223436,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Hawkins Construction Recharges,,1002147325UN75B,1,1,1,Eco_ICP_1002147325UN75B,"Mar26,Apr26,May26","Mar26,Apr26,May26",0.0,0.0,0.0,32213.0,-3.26,,"NZ 'Copy of' name, no Effective From; certificate credited before 1 Jul 26"
Nelson Depot,Copy of Eco_ICP_0000052034NT6A8_CERTS,6397562,94,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,Eco_ICP_0000052034NT6A8,6223437,100.0000,,,True,Electricity – purchased from grid [kWh],Ecotricity,Nelson Depot,,0000052034NT6A8,1,1,1,Eco_ICP_0000052034NT6A8,"Mar26,Apr26,May26,Jun26,Jul26,Aug26","Mar26,Apr26,May26,Jun26",13574.0,0.0,0.0,38523.0,-3.9,,"NZ 'Copy of' name, no Effective From; source has Jul/Aug kWh but certificate account has none; certificate credited before 1 Jul 26"
PPP - HQJOC (ACT),50002617969_4001200751_CERTS,6403513,140,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617969_4001200751,6182789,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - HQJOC (ACT),,4001200751,1,1,1,50002617969_4001200751,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Ashtonfield PS),50002716068_4103689689_CERTS,6403533,142,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002716068_4103689689,6195533,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Ashtonfield PS),,4103689689,1,1,1,50002716068_4103689689,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Elderslie PS),50002617988_4311006154_CERTS,6403560,169,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617988_4311006154,6182742,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Elderslie PS),,4311006154,1,1,1,50002617988_4311006154,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Halinda SSP),50002617986_4310934278_CERTS,6403555,164,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617986_4310934278,6182791,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Halinda SSP),,4310934278,1,1,1,50002617986_4310934278,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (John Palmer PS),50002617955_4310957406_CERTS,6403558,167,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617955_4310957406,6182724,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (John Palmer PS),,4310957406,1,1,1,50002617955_4310957406,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Kariong),50002617993_4103766552_CERTS,6403544,153,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617993_4103766552,6181420,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Kariong),,4103766552,1,1,1,50002617993_4103766552,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Kelso HS),50002617982_4001198085_CERTS,6403512,139,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617982_4001198085,6182790,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Kelso HS),,4001198085,1,1,1,50002617982_4001198085,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Middleton Grange PS),50002617951_4311006155_CERTS,6403561,170,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617951_4311006155,6182721,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Middleton Grange PS),,4311006155,1,1,1,50002617951_4311006155,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
PPP - NSW Schools 2 (Ropes Crossing PS),50002617970_4310938258_CERTS,6403556,165,100% Renewable Energy Certificates,{6000013}*{6000014},Kilowatt hours,50002617970_4310938258,6182733,100.0000,2026-07-01,,False,Electricity Large Market,Origin,PPP - NSW Schools 2 (Ropes Crossing PS),,4310938258,1,1,1,50002617970_4310938258,none,none,0.0,0.0,0.0,0.0,0.0,,source has no kWh in Mar-Aug 26 export
