Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,15082.4194,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,12365.0000,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,15582.0000,15582.0,1.5756,60.0,0.5,7791.0,0.788,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,16798.0000,16798.0,1.6986,60.0,0.5,8399.0,0.849,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,2415.4375,,,,0.5,,,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,2469.0000,2469.0,0.2497,60.0,0.5,1234.5,0.125,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,2819.0000,2819.0,0.2851,60.0,0.5,1409.5,0.143,False
Logistics Ops South Island,63981_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,1673.0000,1673.0,0.1692,60.0,0.5,836.5,0.085,False
Maungatoroto (32 Hurndall St),91409_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,721.0000,721.0,0.0729,60.0,0.5,360.5,0.036,False
PPP - NSW Schools 2 (Ashtonfield PS),7113513001_5247058378,AGL,Natural Gas [GJ],,01 Jun 2026,30.0,60.0,-30.0,,0.0000,,,,0.5,,,False
PPP - NSW Schools 2 (Kariong),7113515329_5243917108,AGL,Natural Gas [GJ],,01 Jun 2026,30.0,60.0,-30.0,,34.0158,,,,0.5,,,False
PPP - NSW Schools 2 (Kariong),7113515329_5243917108,AGL,Natural Gas [GJ],,01 Jul 2026,31.0,60.0,-29.0,,34.0927,,,,0.483,,,False
PPP - NSW Schools 2 (Ropes Crossing PS),7113511617_5247072812,AGL,Natural Gas [GJ],,01 Sep 2025,30.0,60.0,-30.0,,3.4177,,,,0.5,,,False
PPP - NSW Schools 2 (Ropes Crossing PS),7113511617_5247072812,AGL,Natural Gas [GJ],,01 Oct 2025,31.0,60.0,-29.0,,3.3358,,,,0.483,,,False
PPP - NSW Schools 2 (Ropes Crossing PS),7113511617_5247072812,AGL,Natural Gas [GJ],,01 Jun 2026,30.0,60.0,-30.0,,0.4616,,,,0.5,,,False
PPP - Southbank TAFE (QLD),A-87825F48_5410086500,Origin,Natural Gas [GJ],,01 Apr 2026,30.0,60.0,-30.0,,86.1766,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,18714.7742,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,10325.0000,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,12613.0000,12613.0,1.2754,60.0,0.5,6306.5,0.638,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,16390.0000,16390.0,1.6573,60.0,0.5,8195.0,0.829,False
RPQ Mackay Depot,A-D2324744_3050097725,Ergon,Electricity [kWh],2026/01/05,01 Sep 2025,30.0,60.0,-30.0,,75185.9729,,,,0.5,,,False
RPQ NSW South Grafton,A-480CA3BE_4001277522,Origin,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,1430.2644,1430.2644,0.9154,60.0,0.5,715.1,0.458,False
SH1/29 SAFETY IMPROVEMENTS,JP_DN1208_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,539.7742,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,3018.6452,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,1889.0000,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,2108.0000,2108.0,0.2132,60.0,0.5,1054.0,0.107,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,3641.0000,3641.0,0.3682,60.0,0.5,1820.5,0.184,False
Tauriko (763 SH29),91426_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,3032.3226,,,,0.5,,,False
Tauriko (763 SH29),91426_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,3055.0000,,,,0.5,,,False
Tauriko (763 SH29),91426_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,4439.0000,4439.0,0.4489,60.0,0.5,2219.5,0.224,False
Tauriko (763 SH29),91426_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,6398.0000,6398.0,0.647,60.0,0.5,3199.0,0.324,False
Tirau Depot,55568_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,2933.3548,,,,0.5,,,False
Tirau Depot,55568_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,1323.0000,,,,0.5,,,False
Tirau Depot,55568_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,1701.0000,1701.0,0.172,60.0,0.5,850.5,0.086,False
Tirau Depot,55568_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,2296.0000,2296.0,0.2322,60.0,0.5,1148.0,0.116,False
Waitoki Depot,55524_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,3425.5161,,,,0.5,,,False
Waitoki Depot,55524_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,3330.0000,,,,0.5,,,False
Waitoki Depot,55524_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,2723.0000,2723.0,0.2753,60.0,0.5,1361.5,0.138,False
Waitoki Depot,55524_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,2774.0000,2774.0,0.2805,60.0,0.5,1387.0,0.14,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,5727.9770,,,,0.5,,,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,6085.1429,,,,0.5,,,False
Wiri (130 Kerrs Rd),91145_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,60.0,-30.0,,16633.0645,,,,0.5,,,False
Wiri (130 Kerrs Rd),91145_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,60.0,-30.0,,15954.0000,,,,0.5,,,False
Wiri (130 Kerrs Rd),91145_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,60.0,-30.0,,16174.0000,16174.0,1.6355,60.0,0.5,8087.0,0.818,False
Wiri (130 Kerrs Rd),91145_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,60.0,-30.0,,19277.0000,19277.0,1.9493,60.0,0.5,9638.5,0.975,False
"45 Clem Newby Road, Hamilton - Power & Gas Depot",79211_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Sep 2025,30.0,59.0,-29.0,,6618.4571,,,,0.492,,,False
Asphalt Prod - Mackay (400),A-4176013D_3053135053,Ergon,Electricity [kWh],2026/01/01,01 Sep 2025,30.0,59.0,-29.0,,62611.2683,,,,0.492,,,False
Asphalt Prod - Somerton (303),2100429_5330662312,ShellEnergyAU,Natural Gas [GJ],,01 Sep 2025,30.0,59.0,-29.0,,12046.1610,,,,0.492,,,False
Asphalt Prod - Wingfield (523),2100431_5510072233,ShellEnergyAU,Natural Gas [GJ],,01 Sep 2025,30.0,59.0,-29.0,,10318.2420,,,,0.492,,,False
RPQ NSW South Grafton,A-480CA3BE_4001277522,Origin,Electricity [kWh],,01 Jun 2026,30.0,59.0,-29.0,,1407.5435,1407.5435,0.9008,59.0,0.492,692.5,0.443,False
PPP - NSW Schools 2 (Ashtonfield PS),7113513001_5247058378,AGL,Natural Gas [GJ],,01 May 2026,31.0,58.0,-27.0,,0.0000,,,,0.466,,,False
PPP - NSW Schools 2 (Ropes Crossing PS),7113511617_5247072812,AGL,Natural Gas [GJ],,01 Jul 2026,31.0,58.0,-27.0,,0.4566,,,,0.466,,,False
