Location,Account_Number,Supplier,Data Type,Replaced_On,Period_Starting,Days_In_Month,Days_Of_Data,Days_Mismatch,In,Units,export_qty,export_tco2e,export_total_days,excess_share,est_excess_qty,est_excess_tco2e,is_revenue
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,568.0,-538.0,,6347.9963,,,,0.947,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,510.0,-480.0,,11266.2925,,,,0.941,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,505.0,-474.0,,9313.6233,,,,0.939,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,503.0,-475.0,,4688.0519,,,,0.944,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,496.0,-465.0,,5041.5632,,,,0.938,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,467.0,-436.0,,10021.8500,10021.85,1.0134,467.0,0.934,9360.4,0.947,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,465.0,-434.0,,4778.1333,,,,0.933,,,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,450.0,-420.0,,5661.8321,5661.8321,0.5725,450.0,0.933,5282.5,0.534,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,431.0,-401.0,,12239.5500,12239.55,1.2377,431.0,0.93,11382.8,1.151,False
MMA,883005_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,430.0,-399.0,,5027.9161,5027.9161,0.5084,430.0,0.928,4665.9,0.472,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,262.0,-232.0,,14898.7153,,,,0.885,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,253.0,-222.0,,9362.4972,,,,0.877,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,233.0,-202.0,,8660.8843,,,,0.867,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,217.0,-186.0,,13337.5792,,,,0.857,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,217.0,-186.0,,15847.7941,,,,0.857,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,211.0,-181.0,,13066.1411,,,,0.858,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,210.0,-180.0,,11514.5928,,,,0.857,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,210.0,-180.0,,17549.3884,,,,0.857,,,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,207.0,-176.0,,8977.3802,8977.3802,0.9078,207.0,0.85,7630.8,0.772,False
_CLOSED_Porirua CCWRT,UN0001_Electricity - Purchased from grid,,Electricity [kWh],2026/03/31,01 Mar 2026,31.0,196.0,-165.0,,-231.4862,-231.4862,-0.0234,196.0,0.842,-194.9,-0.02,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,189.0,-159.0,,8449.8485,8449.8485,0.8544,189.0,0.841,7106.3,0.719,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,181.0,-150.0,,11012.5792,,,,0.829,,,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,180.0,-150.0,,1131.2143,1131.2143,0.1144,180.0,0.833,942.3,0.095,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,178.0,-147.0,,3153.7000,3153.7,0.3189,178.0,0.826,2605.0,0.263,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,166.0,-135.0,,1001.7857,1001.7857,0.1013,166.0,0.813,814.5,0.082,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,155.0,-124.0,,12326.5792,,,,0.8,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,155.0,-124.0,,14113.0000,14113.0,1.4271,155.0,0.8,11290.4,1.142,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,155.0,-124.0,,8999.0000,8999.0,0.91,155.0,0.8,7199.2,0.728,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,155.0,-124.0,,9975.3333,9975.3333,1.0087,155.0,0.8,7980.3,0.807,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,152.0,-124.0,,7971.3471,,,,0.816,,,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,150.0,-120.0,,9041.0000,9041.0,0.9142,150.0,0.8,7232.8,0.731,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,150.0,-120.0,,9085.0000,9085.0,0.9187,150.0,0.8,7268.0,0.735,False
Hawkins Construction Recharges,9010_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,150.0,-120.0,,10047.8214,10047.8214,1.016,150.0,0.8,8038.3,0.813,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,150.0,-120.0,,2429.0645,2429.0645,0.2456,150.0,0.8,1943.3,0.196,False
Gisborne Depot,55580_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,140.0,-112.0,,12175.0000,,,,0.8,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,126.0,-96.0,,3409.1571,3409.1571,0.3447,126.0,0.762,2597.8,0.263,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Oct 2025,31.0,124.0,-93.0,,492.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Dec 2025,31.0,124.0,-93.0,,631.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Jan 2026,31.0,124.0,-93.0,,577.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Mar 2026,31.0,124.0,-93.0,,590.0000,590.0,0.0389,124.0,0.75,442.5,0.029,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 May 2026,31.0,124.0,-93.0,,540.0000,540.0,0.0356,124.0,0.75,405.0,0.027,False
PPP - NSW Schools 2 (Elderslie PS),9009_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Dec 2025,31.0,124.0,-93.0,,15741.0000,,,,0.75,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,124.0,-93.0,,3167.0000,,,,0.75,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,124.0,-93.0,,2275.0000,,,,0.75,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,124.0,-93.0,,2209.0000,,,,0.75,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,124.0,-93.0,,2580.3105,2580.3105,0.2609,124.0,0.75,1935.2,0.196,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,124.0,-93.0,,2044.3386,,,,0.75,,,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,124.0,-93.0,,2487.3386,2487.3386,0.2515,124.0,0.75,1865.5,0.189,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,124.0,-93.0,,19559.0000,,,,0.75,,,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,124.0,-93.0,,15549.0000,,,,0.75,,,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,122.0,-92.0,,1962.6605,1962.6605,0.1985,122.0,0.754,1479.8,0.15,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Sep 2025,30.0,120.0,-90.0,,387.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Nov 2025,30.0,120.0,-90.0,,547.0000,,,,0.75,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Apr 2026,30.0,120.0,-90.0,,691.0000,691.0,0.0455,120.0,0.75,518.2,0.034,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,120.0,-90.0,,3257.8129,,,,0.75,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,120.0,-90.0,,2529.0000,,,,0.75,,,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,120.0,-90.0,,16904.0000,,,,0.75,,,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,119.0,-89.0,,23066.0968,,,,0.748,,,False
MT-Brazil_Office,Electricity_MT-Brazil_Office,CEMIG,Electricity [kWh],,01 Feb 2026,28.0,112.0,-84.0,,670.0000,,,,0.75,,,False
Utilities Support Misc Rechges,63990_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,112.0,-84.0,,2419.6250,,,,0.75,,,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,112.0,-84.0,,2027.6929,,,,0.75,,,False
_CLOSED_Porirua CCWRT,UN0001_Electricity - Purchased from grid,,Electricity [kWh],2026/03/31,01 Jan 2026,31.0,93.0,-62.0,,238.9138,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,93.0,-62.0,,3534.0000,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,93.0,-62.0,,3510.0000,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,93.0,-62.0,,3463.0000,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,93.0,-62.0,,3461.0000,3461.0,0.35,93.0,0.667,2308.5,0.233,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,93.0,-62.0,,3677.0000,3677.0,0.3718,93.0,0.667,2452.6,0.248,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,93.0,-62.0,,1570.0000,,,,0.667,,,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,93.0,-62.0,,1540.0000,,,,0.667,,,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,93.0,-62.0,,1483.0000,1483.0,0.15,93.0,0.667,989.2,0.1,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 Jan 2026,31.0,93.0,-62.0,,8883.0094,,,,0.667,,,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 Mar 2026,31.0,93.0,-62.0,,8822.7720,8822.772,5.6466,93.0,0.667,5884.8,3.766,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 May 2026,31.0,93.0,-62.0,,8749.6265,8749.6265,5.5998,93.0,0.667,5836.0,3.735,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,93.0,-62.0,,11998.6875,,,,0.667,,,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,93.0,-62.0,,11646.0000,,,,0.667,,,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,93.0,-62.0,,13888.0000,,,,0.667,,,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,93.0,-62.0,,13944.0000,13944.0,1.41,93.0,0.667,9300.6,0.94,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,93.0,-62.0,,13838.0000,13838.0,1.3993,93.0,0.667,9229.9,0.933,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,93.0,-62.0,,18872.0000,18872.0,1.9083,93.0,0.667,12587.6,1.273,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,93.0,-62.0,,20491.0000,20491.0,2.072,93.0,0.667,13667.5,1.382,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,90.0,-60.0,,3843.3548,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,90.0,-60.0,,3522.0000,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,90.0,-60.0,,3186.0000,3186.0,0.3222,90.0,0.667,2125.1,0.215,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,90.0,-60.0,,4029.0000,4029.0,0.4074,90.0,0.667,2687.3,0.272,False
Auckland (4a Wellesley Court),91407_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,90.0,-60.0,,520.0000,520.0,0.0526,90.0,0.667,346.8,0.035,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Sep 2025,30.0,90.0,-60.0,,1637.1935,,,,0.667,,,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,90.0,-60.0,,1518.0000,,,,0.667,,,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,90.0,-60.0,,1609.0000,1609.0,0.1627,90.0,0.667,1073.2,0.109,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,90.0,-59.0,,665.4875,,,,0.656,,,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 Apr 2026,30.0,90.0,-60.0,,8467.3805,8467.3805,5.4191,90.0,0.667,5647.7,3.615,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Nov 2025,30.0,90.0,-60.0,,7006.3125,,,,0.667,,,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,90.0,-60.0,,13108.0000,13108.0,1.3255,90.0,0.667,8743.0,0.884,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Apr 2026,30.0,90.0,-60.0,,17123.0000,17123.0,1.7315,90.0,0.667,11421.0,1.155,False
"Wharf Road, Coromandel",9009_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,90.0,-60.0,,21801.0000,21801.0,2.2045,90.0,0.667,14541.3,1.47,False
_CLOSED_Porirua CCWRT,UN0001_Electricity - Purchased from grid,,Electricity [kWh],2026/03/31,01 Feb 2026,28.0,84.0,-56.0,,215.7931,,,,0.667,,,False
Albany Depot(Water),55535_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,84.0,-56.0,,3456.0000,,,,0.667,,,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,84.0,-56.0,,1410.0000,,,,0.667,,,False
New Plymouth Depot,55572_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,84.0,-56.0,,7880.4444,,,,0.667,,,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 Feb 2026,28.0,84.0,-56.0,,8023.3633,,,,0.667,,,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Feb 2026,28.0,84.0,-56.0,,13334.0000,,,,0.667,,,False
_CLOSED_Porirua CCWRT,UN0001_Electricity - Purchased from grid,,Electricity [kWh],2026/03/31,01 Dec 2025,31.0,83.0,-52.0,,368.3793,,,,0.627,,,False
Whangarei Depot,55510_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,78.0,-47.0,,5016.1694,,,,0.603,,,False
Taumarunui Depot,55563_Electricity - Purchased from grid,,Electricity [kWh],,01 Jun 2026,30.0,71.0,-41.0,,15478.0000,15478.0,1.5651,71.0,0.577,8930.8,0.903,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 Dec 2025,31.0,63.0,-32.0,,5975.7030,,,,0.508,,,False
1259 Okau Road  Ahititi,0007821200WMAC9,Meridian,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,933.9532,,,,0.5,,,False
"45 Clem Newby Road, Hamilton - Power & Gas Depot",79211_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,6135.0000,,,,0.5,,,False
Asphalt Prod - Dunedin,Eco_ICP_0000102308DEAD2,Ecotricity,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,73664.7000,,,,0.5,,,False
Auckland (4a Wellesley Court),91407_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,0.0000,0.0,0.0,62.0,0.5,0.0,0.0,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,390.0000,,,,0.5,,,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,338.0000,,,,0.5,,,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,349.0000,,,,0.5,,,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,62.0,-31.0,,304.0000,304.0,0.0307,62.0,0.5,152.0,0.015,False
Balclutha Depot,55674_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,442.0000,442.0,0.0447,62.0,0.5,221.0,0.022,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Oct 2025,31.0,62.0,-31.0,,1050590.0000,,,,0.5,,,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Dec 2025,31.0,62.0,-31.0,,1576560.0000,,,,0.5,,,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Jan 2026,31.0,62.0,-31.0,,1546420.0000,,,,0.5,,,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Mar 2026,31.0,62.0,-31.0,,3597110.0000,3597110.0,194.9913,62.0,0.5,1798555.0,97.496,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 May 2026,31.0,62.0,-31.0,,1244030.0000,1244030.0,67.4361,62.0,0.5,622015.0,33.718,False
Bitumen - Taranaki,3045_Natural Gas,Downer,Natural Gas [MJ],,01 Jul 2026,31.0,62.0,-31.0,,1121050.0000,1121050.0,60.7696,62.0,0.5,560525.0,30.385,False
Blenheim (29 Old Renwick Road),91388_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,0.0000,0.0,0.0,62.0,0.5,0.0,0.0,False
Cell Towers,91999_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,992.5256,992.5256,0.1004,62.0,0.5,496.3,0.05,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,1528.0000,,,,0.5,,,False
DNZ National Radio Comms,561544_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,1465.0000,1465.0,0.1481,62.0,0.5,732.5,0.074,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,23798.0000,,,,0.5,,,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,16188.0000,,,,0.5,,,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,19159.0000,,,,0.5,,,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,62.0,-31.0,,21620.0000,21620.0,2.1862,62.0,0.5,10810.0,1.093,False
Dunedin Depot (Green Island ),55660_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,26729.0000,26729.0,2.7028,62.0,0.5,13364.5,1.351,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,991.0667,,,,0.5,,,False
Engineers Camp (Lewis Pass),55614_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,838.2222,,,,0.5,,,False
GSC Planning Support,241721_Hydrogen Transport,VIVA,Hydrogen [kg],,01 Jul 2026,31.0,62.0,-31.0,,4.8700,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,15502.0000,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,10086.0000,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,10843.0000,,,,0.5,,,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,62.0,-31.0,,12755.0000,12755.0,1.2898,62.0,0.5,6377.5,0.645,False
Invercargill Depot,55670_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,16976.0000,16976.0,1.7166,62.0,0.5,8488.0,0.858,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,2346.3889,,,,0.5,,,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,2610.9387,,,,0.5,,,False
Lawrence (6 Irvine St),DS2675_Electricity - Purchased from grid,Meridian,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,2733.0000,2733.0,0.2764,62.0,0.5,1366.5,0.138,False
Maryborough,A-011B63B4_3041781236,Ergon,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,4454.9713,4454.9713,2.9848,62.0,0.5,2227.5,1.492,False
NZTA Contract PW S88/01,556260_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,62.0,-31.0,,321.0000,321.0,0.0325,62.0,0.5,160.5,0.016,False
PPP - Southbank TAFE (QLD),A-0818208A_5410078053,Origin,Natural Gas [GJ],,01 Dec 2025,31.0,62.0,-31.0,,27.4910,,,,0.5,,,False
PPP - Southbank TAFE (QLD),A-87825F48_5410086500,Origin,Natural Gas [GJ],,01 May 2026,31.0,62.0,-31.0,,89.0492,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,14275.0000,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,8802.0000,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,10068.0000,,,,0.5,,,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 Mar 2026,31.0,62.0,-31.0,,11895.0000,11895.0,1.2028,62.0,0.5,5947.5,0.601,False
Queenstown Depot,55680_Electricity - Purchased from grid,,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,16869.0000,16869.0,1.7058,62.0,0.5,8434.5,0.853,False
RPQ NSW Chinderah,A-7098FD44_4407159044,Origin,Electricity [kWh],,01 Jun 2026,30.0,62.0,-32.0,,5856.7895,5856.7895,3.7483,62.0,0.516,3022.1,1.934,False
RPQ NSW South Grafton,A-480CA3BE_4001277522,Origin,Electricity [kWh],,01 Mar 2026,31.0,62.0,-31.0,,1945.4091,1945.4091,1.2451,62.0,0.5,972.7,0.623,False
RPQ NSW South Grafton,A-480CA3BE_4001277522,Origin,Electricity [kWh],,01 May 2026,31.0,62.0,-31.0,,1477.9399,1477.9399,0.9459,62.0,0.5,739.0,0.473,False
Stratford Depot,55574_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,850.0000,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Oct 2025,31.0,62.0,-31.0,,2650.0000,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Dec 2025,31.0,62.0,-31.0,,1725.0000,,,,0.5,,,False
Taupo (36-39 Matai St),91648_Electricity - Purchased from grid,,Electricity [kWh],,01 Jan 2026,31.0,62.0,-31.0,,1790.0000,,,,0.5,,,False
