identifier,id_type,n_accounts,n_open,accounts,locations,suppliers,account_styles,replaced_on,months_with_kwh,overlap_months,surplus_kwh,surplus_tco2e,classification
4103927809,NMI,2,1,385293_4103927809 | 50002617980_4103927809,PPP - SICEEP | PPP - SICEEP,EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4103960539,NMI,2,0,200035709928_4103960539 | 50002650728_4103960539,_CLOSED_Gladesville | _CLOSED_Gladesville,Origin | Origin,Electricity Small Market | Electricity Small Market,20 Jun 2022 | 20 Jun 2022,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104030101,NMI,2,1,50002617996_4104030101 | 389751_4104030101,Asphalt Prod - Teralba (152) | _CLOSED_DBS_Mt Thorley,Origin | EnergyAustralia,Electricity Large Market | Electricity Small Market,open | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104037195,NMI,2,1,A-67BE8F15_4104037195 | A-EE80EEC5_4104037195,Spotless FM - Riverwood office | Spotless FM - Riverwood office,Origin | Origin,Electricity Small Market | Electricity Small Market,20 Sep 2023 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104068912,NMI,2,0,9426995655_4104068912 | 9939015244_4104068912,_CLOSED_TAP T4 (Mascot) | _CLOSED_TAP T4 (Mascot),EnergyAustralia | EnergyAustralia,Electricity Small Market | Electricity Small Market,29 Aug 2023 | 11 Jul 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104069490,NMI,2,0,200055031831_4104069490 | A-DD2876E8_4104069490,_CLOSED_Sydney Metro Upgrades - P5 | _CLOSED_Sydney Metro Upgrades - P5,Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104070809,NMI,2,0,200054047721_4104070809 | A-96504C2A_4104070809,_CLOSED_Sydney Metro Upgrades - P6 | _CLOSED_Sydney Metro Upgrades - P6,Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104070835,NMI,2,0,200055031823_4104070835 | A-545D6523_4104070835,_CLOSED_Sydney Metro Upgrades - P6 | _CLOSED_Sydney Metro Upgrades - P6,Origin | Origin,Electricity Small Market | Electricity Small Market,27 May 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104070836,NMI,2,0,200055031849_4104070836 | A-DE9B9D67_4104070836,_CLOSED_Sydney Metro Upgrades - P5 | _CLOSED_Sydney Metro Upgrades - P5,Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104070837,NMI,2,0,200055031807_4104070837 | A-20DC2B2F_4104070837,_CLOSED_Sydney Metro Upgrades - P5 | _CLOSED_Sydney Metro Upgrades - P5,Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104072867,NMI,2,0,200055031690_4104072867 | A-B666FC87_4104072867,_CLOSED_Sydney Metro Upgrades - P6 | _CLOSED_Sydney Metro Upgrades - P6,Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104072934,NMI,2,0,200055031815_4104072934 | A-39D5D5A1_4104072934,_CLOSED_Sydney Metro Upgrades - P6 | _CLOSED_Sydney Metro Upgrades - P6,Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104074429,NMI,2,0,200055031682_4104074429 | A-9874532D_4104074429,_CLOSED_Sydney Metro Upgrades - P5 | _CLOSED_Sydney Metro Upgrades - P5,Origin | Origin,Electricity Small Market | Electricity Small Market,13 Jan 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4104077709,NMI,2,0,200054759309_4104077709 | A-03C637A4_4104077709,_CLOSED_TAP T5 (Turella & Killara) | _CLOSED_TAP T5 (Turella & Killara),Origin | Origin,Electricity Small Market | Electricity Small Market,29 Sep 2023 | 29 Sep 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4204050222,NMI,3,0,999913174305_4204050222 | 8818504174_4204050222 | A-A272EC25_4204050222,_CLOSED_Gov Contract Office Riverside Plaza | _CLOSED_Gov Contract Office Riverside Plaza | _CLOSED_Gov Contract Office Riverside Plaza,ActewAGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,14 Apr 2021 | 03 Jul 2023 | 05 Feb 2024,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4204052728,NMI,2,0,200048563064_4204052728 | A-2E6DF83F_4204052728,Residences_NSW | Residences_NSW,Origin | Origin,Electricity Small Market | Electricity Small Market,10 Jul 2023 | 29 Feb 2024,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4204054363,NMI,2,0,200048534206_4204054363 | 200051567580_4204054363,Residences_NSW | Residences_NSW,Origin | Origin,Electricity Small Market | Electricity Small Market,11 Feb 2021 | 28 Mar 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4204059915,NMI,2,0,237476051011_4204059915 | 6183623116_4204059915,_CLOSED_Depot - Batemans Bay (NSW Depot) | _CLOSED_Depot - Batemans Bay (NSW Depot),ActewAGL | EnergyAustralia,Electricity Small Market | Electricity Small Market,21 Jul 2021 | 28 Jan 2022,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4204072845,NMI,2,1,385308_4204072845 | 50002617992_4204072845,Asphalt Prod - Mogo (154) | Asphalt Prod - Mogo (154),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4204234430,NMI,3,1,5868854420_4204234430 | 200021563602_4204234430 | A-39C3EA08_4204234430,Asphalt Prod - Narrandera (113) | Asphalt Prod - Narrandera (113) | Asphalt Prod - Narrandera (113),EnergyAustralia | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,13 Sep 2023 | 25 Jul 2021 | open,"none | none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310010555,NMI,2,0,6939798347_4310010555 | 200043877394_4310010555,_CLOSED_Parramatta Light Rail | _CLOSED_Parramatta Light Rail,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2023 | 21 Sep 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310027807,NMI,2,1,4735468390_4310027807 | 200012634040_4310027807,Skilltech - Rydalmere | Skilltech - Rydalmere,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,open | 08 Jul 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310033090,NMI,4,0,8821725745_4310033090 | 200036230635_4310033090 | 200048747295_4310033090 | 200052059132_4310033090,_CLOSED_Water - ITS Pipetech NSW | _CLOSED_Water - ITS Pipetech NSW | _CLOSED_Water - ITS Pipetech NSW | _CLOSED_Water - ITS Pipetech NSW,EnergyAustralia | Origin | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,29 Sep 2022 | 19 Apr 2020 | 23 Feb 2021 | 22 Aug 2021,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310678881,NMI,2,0,198990990_4310678881 | TBA_4310678881,_CLOSED_Wollongong Office (NSW) | _CLOSED_Wollongong Office (NSW),Lumo | QEnergy,Electricity Simple | Energetics - Small Market,18 Jun 2014 | 30 Jun 2017,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310688598,NMI,3,0,50002650727_4310688598 | 2092 8515_4310688598 | 200049084813_4310688598,North Wollongong Office | North Wollongong Office | North Wollongong Office,Origin | Alinta | Origin,Electricity Large Market | Electricity Small Market | Electricity Small Market,11 Jul 2023 | 18 May 2020 | 13 Jul 2020,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310814853,NMI,2,0,385295_4310814853 | 50002617954_4310814853,_CLOSED_Laundry - North Rocks (NSW) | _CLOSED_Laundry - North Rocks (NSW),EnergyAustralia | Origin,Electricity Large Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310822163,NMI,2,0,7261445737_4310822163 | A-88926277_4310822163,_CLOSED_St Marys - Gallipoli St | _CLOSED_St Marys - Gallipoli St,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,07 Aug 2023 | 23 Jan 2024,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310908966,NMI,2,0,3507337412_4310908966 | 200048446369_4310908966,_CLOSED_Parramatta Light Rail | _CLOSED_Parramatta Light Rail,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2023 | 14 Sep 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310923761,NMI,2,0,4024022152_4310923761 | 200051716583_4310923761,_CLOSED_Parramatta Light Rail | _CLOSED_Parramatta Light Rail,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2023 | 19 Sep 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310934278,NMI,2,1,385301_4310934278 | 50002617986_4310934278,PPP - NSW Schools 2 (Halinda SSP) | PPP - NSW Schools 2 (Halinda SSP),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310938258,NMI,2,1,385413_4310938258 | 50002617970_4310938258,PPP - NSW Schools 2 (Ropes Crossing PS) | PPP - NSW Schools 2 (Ropes Crossing PS),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310957406,NMI,2,1,385281_4310957406 | 50002617955_4310957406,PPP - NSW Schools 2 (John Palmer PS) | PPP - NSW Schools 2 (John Palmer PS),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4310984436,NMI,2,1,385275_4310984436 | 50002617959_4310984436,PPP - NSW Schools 2 (Rouse Hill HS) | PPP - NSW Schools 2 (Rouse Hill HS),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4311006154,NMI,2,1,385277_4311006154 | 50002617988_4311006154,PPP - NSW Schools 2 (Elderslie PS) | PPP - NSW Schools 2 (Elderslie PS),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4311006155,NMI,2,1,385440_4311006155 | 50002617951_4311006155,PPP - NSW Schools 2 (Middleton Grange PS) | PPP - NSW Schools 2 (Middleton Grange PS),EnergyAustralia | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | open,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4311284377,NMI,4,0,200037564073_4311284377 | 200048748202_4311284377 | 200052059124_4311284377 | A-F43ED54D_4311284377,_CLOSED_Water - ITS Pipetech NSW | _CLOSED_Water - ITS Pipetech NSW | _CLOSED_Water - ITS Pipetech NSW | _CLOSED_Water - ITS Pipetech NSW,Origin | Origin | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,19 Apr 2020 | 19 Nov 2020 | 29 Sep 2022 | 27 Feb 2023,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4407026487,NMI,3,0,200052059157_4407026487 | A-1C02F07D_4407026487 | EW786210_4407026487,_Closed_Port Macquarie - Jindalee Rd | _Closed_Port Macquarie - Jindalee Rd | _Closed_Port Macquarie - Jindalee Rd,Origin | Origin | QEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market,26 Jul 2021 | 25 Jan 2024 | 10 May 2020,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
4407159044,NMI,3,1,200051085393_4407159044 | A-4005C5DE_4407159044 | A-7098FD44_4407159044,RPQ NSW Chinderah | RPQ NSW Chinderah | RPQ NSW Chinderah,Origin | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,18 Dec 2022 | 18 Sep 2023 | open,"none | none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4407159054,NMI,3,1,200051085377_4407159054 | 50002846159_4407159054 | A-1D612D9B_4407159054,RPQ NSW Chinderah | RPQ NSW Chinderah | RPQ NSW Chinderah,Origin | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,19 Dec 2022 | open | 29 Jan 2024,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
4407159858,NMI,2,0,200018510384_4407159858 | 50002617998_4407159858,NSW Spray Seal | RPQ Spray Seal,Origin | Origin,Electricity Small Market | Electricity Small Market,30 Jun 2020 | 30 Apr 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6001054854,NMI,3,0,0530464530_6001054854 | 530464530_6001054854 | 50002652049_6001054854,_CLOSED_Laundry - Cross Dock (VIC) | _CLOSED_Laundry - Cross Dock (VIC) | _CLOSED_Laundry - Cross Dock (VIC),EnergyAustralia | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,08 May 2020 | 31 Jul 2020 | 30 Jun 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6001208987,NMI,2,0,7099172871_6001208987 | 8417833143_6001208987,352 Macaulay Road | 352 Macaulay Road,AGL | EnergyAustralia,Electricity Small Market | Electricity Small Market,31 Dec 2024 | 30 Jun 2023,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6001295311,NMI,3,1,7099172855_6001295311 | 9956624348_6001295311 | 300022519718_6001295311,GWW - Campbellfield Depot | GWW - Campbellfield Depot | _CLOSED_PL - City West Water,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6001311036,NMI,3,1,DEDI01_6001311036 | 50002646138_6001311036 | 900018217_6001311036,Asphalt Prod - Somerton (303) | Asphalt Prod - Somerton (303) | Asphalt Prod - Somerton (303),ERM | Origin | EngieAU,Electricity Large Market | Electricity Large Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2026 | open,"none | Mar26,Apr26,May26,Jun26 | Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6001399332,NMI,3,1,7099172947_6001399332 | 3791453447_6001399332 | 300020368936_6001399332,Kensington - Hobsons Rd | Kensington - Hobsons Rd | Kensington - Hobsons Rd,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6001731113,NMI,2,0,DEDI01_6001731113 | 50002646139_6001731113,East Preston - Rail (Tram Maintenance Depot) | East Preston - Rail (Tram Maintenance Depot),ERM | Origin,Electricity Large Market | Electricity Large Market,30 Jun 2020 | 28 Feb 2025,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6102101295,NMI,4,0,5508374677_6102101295 | 300041637475_6102101295 | 300042684526_6102101295 | EW782077_6102101295,_CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC),EnergyAustralia | Origin | Origin | QEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,31 Dec 2021 | 09 Mar 2021 | 30 Jun 2021 | 10 May 2020,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6102294971,NMI,4,0,8171563037_6102294971 | 300041637533_6102294971 | 300042684534_6102294971 | EW840277_6102294971,_CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC),EnergyAustralia | Origin | Origin | QEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,01 Jan 2022 | 09 Jun 2020 | 01 Jul 2021 | 10 May 2020,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6102373347,NMI,3,0,SPFS02_014_6102373347 | 50002646134_6102373347 | 50002814437_6102373347,LSE - Zinc (VIC) | LSE - Zinc (VIC) | LSE - Zinc (VIC),ERM | Origin | Origin,Electricity Large Market | Electricity Large Market | Electricity Small Market,30 Jun 2020 | 29 Jun 2022 | 30 Nov 2022,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6102493129,NMI,4,0,9249864365_6102493129 | 300041637715_6102493129 | 300042684542_6102493129 | EW710743_6102493129,_CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC),EnergyAustralia | Origin | Origin | QEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,03 Feb 2022 | 09 Apr 2021 | 07 Jul 2021 | 10 May 2020,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6102951812,NMI,4,0,9029707326_6102951812 | 300041637772_6102951812 | 300042684559_6102951812 | EW782078_6102951812,_CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC) | _CLOSED_Laundry - Northcote (VIC),EnergyAustralia | Origin | Origin | QEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,03 Feb 2022 | 09 Apr 2021 | 07 Jul 2021 | 10 May 2020,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034554,NMI,3,1,7099171295_6103034554 | 5663254940_6103034554 | 300032638565_6103034554,567 Collins St - Level 5 | 567 Collins St - Level 5 | 567 Collins St - Level 5,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034555,NMI,3,1,7099171287_6103034555 | 9826516834_6103034555 | 300032638508_6103034555,567 Collins St - Level 5 | 567 Collins St - Level 5 | 567 Collins St - Level 5,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034564,NMI,3,1,7099172145_6103034564 | 3797111232_6103034564 | 300032527586_6103034564,567 Collins St - Level 10 | 567 Collins St - Level 10 | 567 Collins St - Level 10,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 29 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034565,NMI,3,1,7099173143_6103034565 | 1514766741_6103034565 | 300032528477_6103034565,567 Collins St - Level 10 | 567 Collins St - Level 10 | 567 Collins St - Level 10,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 29 Jun 2023 | 29 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034856,NMI,2,0,50002646148_6103034856 | 7036214380_6103034856,_CLOSED_Corporate - 549 St Kilda Rd (Melbourne VIC) | _CLOSED_Corporate - 549 St Kilda Rd (Melbourne VIC),Origin | AGL,Electricity Large Market | Electricity Small Market,30 Nov 2023 | 19 Jul 2020,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034857,NMI,2,0,50002646149_6103034857 | 7014489996_6103034857,_CLOSED_Corporate - 549 St Kilda Rd (Melbourne VIC) | _CLOSED_Corporate - 549 St Kilda Rd (Melbourne VIC),Origin | AGL,Electricity Large Market | Electricity Small Market,31 Mar 2024 | 19 Jul 2020,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103034858,NMI,2,0,50002646150_6103034858 | 7014490002_6103034858,_CLOSED_Corporate - 549 St Kilda Rd (Melbourne VIC) | _CLOSED_Corporate - 549 St Kilda Rd (Melbourne VIC),Origin | AGL,Electricity Large Market | Electricity Small Market,30 Jun 2024 | 19 Jul 2020,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6103066712,NMI,3,1,7099172186_6103066712 | 3582693223_6103066712 | 300043704836_6103066712,Remediation Site_Laundry - Abbotsford (VIC) | Remediation Site_Laundry - Abbotsford (VIC) | Remediation Site_Laundry - Abbotsford (VIC),AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203155353,NMI,2,1,7068967442_6203155353 | 7099173051_6203155353,Ausnet_Gas_Geelong East | Ausnet_Gas_Geelong East,AGL | AGL,Electricity Small Market | Electricity Small Market,12 Oct 2023 | open,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203245874,NMI,3,1,7099172913_6203245874 | 1476119418_6203245874 | 300001848187_6203245874,Ausnet_Gas_Wendouree | Ausnet_Gas_Wendouree | AusNet Gas - Fuel Cards,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 26 Jul 2022,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203299040,NMI,3,0,7099171816_6203299040 | 5437523457_6203299040 | 300019223969_6203299040,Asphalt Prod - Shepparton (308) | Asphalt Prod - Shepparton (308) | Asphalt Prod - Shepparton (308),AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,01 Feb 2024 | 30 Jun 2023 | 30 Jun 2021,none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203302485,NMI,3,1,7099172905_6203302485 | 1973799412_6203302485 | 300000920581_6203302485,Ausnet_Gas_Ararat | Ausnet_Gas_Ararat | _CLOSED_DO_Ararat,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203333799,NMI,2,0,2712238533_6203333799 | 300033713128_6203333799,Ausnet_Gas_Portland - Kunara | _CLOSED_DO_Portland,EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market,30 Nov 2022 | 30 Jun 2021,none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203424291,NMI,3,1,7099172897_6203424291 | 2443004782_6203424291 | 300001232820_6203424291,Ausnet_Gas_North Bendigo | Ausnet_Gas_North Bendigo | _CLOSED_DO_Bendigo,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203424292,NMI,3,1,7099173044_6203424292 | 6270817761_6203424292 | 300001232770_6203424292,Ausnet_Gas_North Bendigo | Ausnet_Gas_North Bendigo | _CLOSED_DO_Bendigo,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203510612,NMI,4,0,1342249931_6203510612 | 300041637780_6203510612 | 300042684567_6203510612 | EW710744_6203510612,_CLOSED_Depot - Mildura (VIC Depot) | _CLOSED_Depot - Mildura (VIC Depot) | _CLOSED_Depot - Mildura (VIC Depot) | _CLOSED_Depot - Mildura (VIC Depot),EnergyAustralia | Origin | Origin | QEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,31 Dec 2021 | 01 Dec 2020 | 30 Jun 2021 | 10 May 2020,none | none | none | none,,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203616394,NMI,3,1,7099172954_6203616394 | 7510340718_6203616394 | 300032541280_6203616394,Ausnet_Gas_Warrnambool | Ausnet_Gas_Warrnambool | _CLOSED_DO_Warrnambool,AGL | EnergyAustralia | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203723433,NMI,2,1,7099171279_6203723433 | 300023859196_6203723433,Ausnet_Gas_Colac West | _CLOSED_DO_Colac,AGL | Origin,Electricity Small Market | Electricity Small Market,open | 04 Jul 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203753676,NMI,3,1,DEDI01_6203753676 | 50002646140_6203753676 | 900018212_6203753676,Utilities Derrimut Office | Utilities Derrimut Office | Utilities Derrimut Office,ERM | Origin | EngieAU,Electricity Large Market | Electricity Large Market | Electricity Small Market,30 Jun 2020 | 30 Jun 2026 | open,"none | Mar26,Apr26,May26,Jun26 | Jul26,Aug26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203834591,NMI,3,1,7099172939_6203834591 | 7099510799_6203834591 | 1868971_6203834591,City of Melton Roads and Drainage Asset Maintenanc | City of Melton Roads and Drainage Asset Maintenanc | City of Melton Roads and Drainage Asset Maintenanc,AGL | AGL | TangoEnergy,Electricity Small Market | Electricity Small Market | Electricity Small Market,20 Jan 2024 | open | 30 Jun 2023,"none | Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6203842158,NMI,4,1,7099173036_6203842158 | 0620269716_6203842158 | 300038025023_6203842158 | 300039184647_6203842158,Horsham - Ballinger St | Horsham - Ballinger St | Horsham - Ballinger St | Horsham - Ballinger St,AGL | EnergyAustralia | Origin | Origin,Electricity Small Market | Electricity Small Market | Electricity Small Market | Electricity Small Market,open | 30 Jun 2023 | 07 Nov 2019 | 30 Jun 2021,"Mar26,Apr26,May26,Jun26,Jul26,Aug26 | none | none | none",,0,0.0,Legitimate succession - closed predecessor plus live replacement
6204134328,NMI,2,1,900018214_6204134328 | 50002946681_6204134328,Asphalt Prod - Shepparton (308) | Asphalt Prod - Shepparton (308),EngieAU | Origin,Electricity Small Market | Electricity Small Market,open | 30 Jun 2026,"Jul26,Aug26 | Mar26,Apr26,May26,Jun26",,0,0.0,Legitimate succession - closed predecessor plus live replacement
