"Organization","Location","Virtual Account Name","Virtual Account Link","Relationship Link","Effective From YYYY-MM-DD","Effective To YYYY-MM-DD","Rule Name","Rule Link","Rule Description","Rule Formula","Variable Name","Variable Link","Source Type","Source Name","Source Link","Source Apportionment","Delete Relationship"
"Downer","PPP - NSW Schools 2 (Halinda SSP)","50002617986_4310934278_CERTS","6403555","164","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617986_4310934278","6182791","100.0000",""
"Downer","PPP - NSW Schools 2 (John Palmer PS)","50002617955_4310957406_CERTS","6403558","167","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617955_4310957406","6182724","100.0000",""
"Downer","PPP - NSW Schools 2 (Kariong)","50002617993_4103766552_CERTS","6403544","153","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617993_4103766552","6181420","100.0000",""
"Downer","PPP - NSW Schools 2 (Kelso HS)","50002617982_4001198085_CERTS","6403512","139","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617982_4001198085","6182790","100.0000",""
"Downer","PPP - NSW Schools 2 (Middleton Grange PS)","50002617951_4311006155_CERTS","6403561","170","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617951_4311006155","6182721","100.0000",""
"Downer","PPP - NSW Schools 2 (Ropes Crossing PS)","50002617970_4310938258_CERTS","6403556","165","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617970_4310938258","6182733","100.0000",""
"Downer","PPP - NSW Schools 2 (Rouse Hill HS)","50002617959_4310984436_CERTS","6403559","168","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617959_4310984436","6182788","100.0000",""
"Downer","PPP - NSW Schools 2 (Tulimbar PS)","50002716071_4310955386_CERTS","6403557","166","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002716071_4310955386","6195905","100.0000",""
"Downer","PPP - NSW Schools 2 (Warnervale PS)","50002617995_4103705443_CERTS","6403534","143","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617995_4103705443","6181001","100.0000",""
"Downer","PPP - SICEEP","50002617956_4103927808_CERTS","6403548","157","2026-07-01",,"100% Renewable Energy Certificates","6000009","Use this conversion to denote 100% of electricity purchased as renewable","{6000013}*{6000014}","Kilowatt hours","6000013","Account","50002617956_4103927808","6182725","100.0000",""
