Page,Section,SubSection,EmissionsFactorLabel,Unit,UUID,Type,Assumptions,GHG,EmissionFactor,Uncertainties
Refrigerant and Other Gases,Refrigerant Use,Refrigerant blends: Zeotropes,436B - R-290/600 (52.0/48.0),kg,0bd7b684-7833-4b55-9f81-404405718646,436B - R-290/600 (52.0/48.0),,GHG_TOTAL_KGCO2_e,1.4712,
Refrigerant and Other Gases,Refrigerant Use,Refrigerant blends: Zeotropes,502 - R-22/115 (48.8/51.2),kg,4e37cd66-8f89-446f-9091-8b655153de74,502 - R-22/115 (48.8/51.2),,GHG_CO2_KGCO2_e,4785.92,
Refrigerant and Other Gases,Refrigerant Use,Refrigerant blends: Zeotropes,502 - R-22/115 (48.8/51.2),kg,4e37cd66-8f89-446f-9091-8b655153de74,502 - R-22/115 (48.8/51.2),,GHG_TOTAL_KGCO2_e,4785.92,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Carbon dioxide (R-744) - CO₂,kg,0813ed69-1350-4bcb-9166-18b75f8c734d,Carbon dioxide (R-744) - CO₂,,GHG_CO2_KGCO2_e,1,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Carbon dioxide (R-744) - CO₂,kg,0813ed69-1350-4bcb-9166-18b75f8c734d,Carbon dioxide (R-744) - CO₂,,GHG_TOTAL_KGCO2_e,1,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Isobutane (R-600a) - C₄H₁₀,kg,7f0a5fd1-8823-426e-9a2e-78d5ab392346,Isobutane (R-600a) - C₄H₁₀,,GHG_CO2_KGCO2_e,3,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Isobutane (R-600a) - C₄H₁₀,kg,7f0a5fd1-8823-426e-9a2e-78d5ab392346,Isobutane (R-600a) - C₄H₁₀,,GHG_TOTAL_KGCO2_e,3,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Methane - CH₄,kg,8fa5677a-11e7-4efd-bb30-9ab487a2e76a,Methane - CH₄,,GHG_CO2_KGCO2_e,28,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Methane - CH₄,kg,8fa5677a-11e7-4efd-bb30-9ab487a2e76a,Methane - CH₄,,GHG_TOTAL_KGCO2_e,28,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Nitrous oxide (R-744a) - N₂O,kg,10799065-b92d-4e7e-807b-74316f70b959,Nitrous oxide (R-744a) - N₂O,,GHG_CO2_KGCO2_e,265,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Nitrous oxide (R-744a) - N₂O,kg,10799065-b92d-4e7e-807b-74316f70b959,Nitrous oxide (R-744a) - N₂O,,GHG_TOTAL_KGCO2_e,265,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Propane (R-290) - C₃H₈,kg,9924e860-28dc-4ac0-ae2a-1a76b4426aed,Propane (R-290) - C₃H₈,,GHG_CO2_KGCO2_e,0.06,
Refrigerant and Other Gases,Refrigerant Use,Refrigerants,Propane (R-290) - C₃H₈,kg,9924e860-28dc-4ac0-ae2a-1a76b4426aed,Propane (R-290) - C₃H₈,,GHG_TOTAL_KGCO2_e,0.06,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-11 (R-11) - CCl₃F,kg,716265a3-1850-48d2-a231-6f981d108d66,CFC-11 (R-11) - CCl₃F,,GHG_CO2_KGCO2_e,4660,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-11 (R-11) - CCl₃F,kg,716265a3-1850-48d2-a231-6f981d108d66,CFC-11 (R-11) - CCl₃F,,GHG_TOTAL_KGCO2_e,4660,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-113 (R-113) - CCl₂FCClF₂,kg,e1efaf37-c31d-4ea4-813f-4b2794edad2d,CFC-113 (R-113) - CCl₂FCClF₂,,GHG_CO2_KGCO2_e,5820,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-113 (R-113) - CCl₂FCClF₂,kg,e1efaf37-c31d-4ea4-813f-4b2794edad2d,CFC-113 (R-113) - CCl₂FCClF₂,,GHG_TOTAL_KGCO2_e,5820,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-114 (R-114) - CClF₂CClF₂,kg,72f9436a-f512-4e4f-92d6-d5b757e5e6e4,CFC-114 (R-114) - CClF₂CClF₂,,GHG_CO2_KGCO2_e,8590,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-114 (R-114) - CClF₂CClF₂,kg,72f9436a-f512-4e4f-92d6-d5b757e5e6e4,CFC-114 (R-114) - CClF₂CClF₂,,GHG_TOTAL_KGCO2_e,8590,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-115 (R-115) - CClF₂CF₃,kg,adf7b7f1-ce08-4589-9fb9-8b8a1f611872,CFC-115 (R-115) - CClF₂CF₃,,GHG_CO2_KGCO2_e,7670,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-115 (R-115) - CClF₂CF₃,kg,adf7b7f1-ce08-4589-9fb9-8b8a1f611872,CFC-115 (R-115) - CClF₂CF₃,,GHG_TOTAL_KGCO2_e,7670,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-12 (R-12) - CCl₂F₂,kg,ba177106-e355-4c63-9692-0eac5952d3d2,CFC-12 (R-12) - CCl₂F₂,,GHG_CO2_KGCO2_e,10200,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-12 (R-12) - CCl₂F₂,kg,ba177106-e355-4c63-9692-0eac5952d3d2,CFC-12 (R-12) - CCl₂F₂,,GHG_TOTAL_KGCO2_e,10200,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-13 (R-13) - CClF₃,kg,da0ac088-6e2d-41f9-b9ea-d8d1296cd4aa,CFC-13 (R-13) - CClF₃,,GHG_CO2_KGCO2_e,13900,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,CFC-13 (R-13) - CClF₃,kg,da0ac088-6e2d-41f9-b9ea-d8d1296cd4aa,CFC-13 (R-13) - CClF₃,,GHG_TOTAL_KGCO2_e,13900,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Carbon tetrachloride (R-10) - CCl₄,kg,3ab7fb82-57c3-4f63-8891-303ecde57c6e,Carbon tetrachloride (R-10) - CCl₄,,GHG_CO2_KGCO2_e,1730,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Carbon tetrachloride (R-10) - CCl₄,kg,3ab7fb82-57c3-4f63-8891-303ecde57c6e,Carbon tetrachloride (R-10) - CCl₄,,GHG_TOTAL_KGCO2_e,1730,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-123 (R-123) - CHCl₂CF₃,kg,040c1614-2676-4d50-a000-1c8a9a794bec,HCFC-123 (R-123) - CHCl₂CF₃,,GHG_CO2_KGCO2_e,79,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-123 (R-123) - CHCl₂CF₃,kg,040c1614-2676-4d50-a000-1c8a9a794bec,HCFC-123 (R-123) - CHCl₂CF₃,,GHG_TOTAL_KGCO2_e,79,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-124 (R-124) - CHClFCF₃,kg,5113a12c-5ab5-4a05-8dd8-10e367fed1c2,HCFC-124 (R-124) - CHClFCF₃,,GHG_CO2_KGCO2_e,527,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-124 (R-124) - CHClFCF₃,kg,5113a12c-5ab5-4a05-8dd8-10e367fed1c2,HCFC-124 (R-124) - CHClFCF₃,,GHG_TOTAL_KGCO2_e,527,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-141b (R-141b) - CH₃CCl₂F,kg,70173788-ad71-4eaf-bcfd-f2ae27a840ab,HCFC-141b (R-141b) - CH₃CCl₂F,,GHG_CO2_KGCO2_e,782,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-141b (R-141b) - CH₃CCl₂F,kg,70173788-ad71-4eaf-bcfd-f2ae27a840ab,HCFC-141b (R-141b) - CH₃CCl₂F,,GHG_TOTAL_KGCO2_e,782,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-142b (R-142b) - CH₃CClF₂,kg,a4751376-7f4f-494f-8795-c18d85b54a6e,HCFC-142b (R-142b) - CH₃CClF₂,,GHG_CO2_KGCO2_e,1980,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-142b (R-142b) - CH₃CClF₂,kg,a4751376-7f4f-494f-8795-c18d85b54a6e,HCFC-142b (R-142b) - CH₃CClF₂,,GHG_TOTAL_KGCO2_e,1980,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-21 - CHCl₂F,kg,df7a1b39-20e5-4b2e-aea2-3c37410f9a7f,HCFC-21 - CHCl₂F,,GHG_CO2_KGCO2_e,148,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-21 - CHCl₂F,kg,df7a1b39-20e5-4b2e-aea2-3c37410f9a7f,HCFC-21 - CHCl₂F,,GHG_TOTAL_KGCO2_e,148,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-22 (R-22) - CHClF₂,kg,f75ef5a6-cd44-4bb9-81b8-7540a8c49514,HCFC-22 (R-22) - CHClF₂,,GHG_CO2_KGCO2_e,1760,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-22 (R-22) - CHClF₂,kg,f75ef5a6-cd44-4bb9-81b8-7540a8c49514,HCFC-22 (R-22) - CHClF₂,,GHG_TOTAL_KGCO2_e,1760,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-225ca (R-225ca) - CHCl₂CF₂CF₃,kg,27e8e94b-58a9-4c4a-a472-c71a0e8cdfe9,HCFC-225ca (R-225ca) - CHCl₂CF₂CF₃,,GHG_CO2_KGCO2_e,127,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-225ca (R-225ca) - CHCl₂CF₂CF₃,kg,27e8e94b-58a9-4c4a-a472-c71a0e8cdfe9,HCFC-225ca (R-225ca) - CHCl₂CF₂CF₃,,GHG_TOTAL_KGCO2_e,127,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-225cb (R-225cb) - CHClFCF₂CClF₂,kg,21289e19-0e9c-44c8-8c42-6dd4bde00e50,HCFC-225cb (R-225cb) - CHClFCF₂CClF₂,,GHG_CO2_KGCO2_e,525,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,HCFC-225cb (R-225cb) - CHClFCF₂CClF₂,kg,21289e19-0e9c-44c8-8c42-6dd4bde00e50,HCFC-225cb (R-225cb) - CHClFCF₂CClF₂,,GHG_TOTAL_KGCO2_e,525,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Halon-1211 (R-1211) - CBrClF₂,kg,ff53fe00-da89-473a-b766-0f2e8ef8626f,Halon-1211 (R-1211) - CBrClF₂,,GHG_CO2_KGCO2_e,1750,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Halon-1211 (R-1211) - CBrClF₂,kg,ff53fe00-da89-473a-b766-0f2e8ef8626f,Halon-1211 (R-1211) - CBrClF₂,,GHG_TOTAL_KGCO2_e,1750,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Halon-1301 (R-1301) - CBrF₃,kg,04867193-c20d-4ca3-a0d1-59fbddfb2d2f,Halon-1301 (R-1301) - CBrF₃,,GHG_CO2_KGCO2_e,6290,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Halon-1301 (R-1301) - CBrF₃,kg,04867193-c20d-4ca3-a0d1-59fbddfb2d2f,Halon-1301 (R-1301) - CBrF₃,,GHG_TOTAL_KGCO2_e,6290,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Halon-2402 (R-2402) - CBrF₂CBrF₂,kg,8ed6a724-af10-43c3-9764-46b819f544cf,Halon-2402 (R-2402) - CBrF₂CBrF₂,,GHG_CO2_KGCO2_e,1470,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Halon-2402 (R-2402) - CBrF₂CBrF₂,kg,8ed6a724-af10-43c3-9764-46b819f544cf,Halon-2402 (R-2402) - CBrF₂CBrF₂,,GHG_TOTAL_KGCO2_e,1470,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Methyl bromide - CH₃Br,kg,43d60ad6-14bd-4b62-a6ee-07931f55dc69,Methyl bromide - CH₃Br,,GHG_CO2_KGCO2_e,2,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Methyl bromide - CH₃Br,kg,43d60ad6-14bd-4b62-a6ee-07931f55dc69,Methyl bromide - CH₃Br,,GHG_TOTAL_KGCO2_e,2,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Methyl chloroform - CH₃CCl₃,kg,fcdfd799-62a8-46f8-be7e-92856f3ffd87,Methyl chloroform - CH₃CCl₃,,GHG_CO2_KGCO2_e,160,
Refrigerant and Other Gases,Refrigerant Use,Substances controlled by the Montreal Protocol,Methyl chloroform - CH₃CCl₃,kg,fcdfd799-62a8-46f8-be7e-92856f3ffd87,Methyl chloroform - CH₃CCl₃,,GHG_TOTAL_KGCO2_e,160,
Travel,Accommodation,Hotel Stays,Argentina,Room per night,4e629be6-eddb-4085-becd-7a8289e8ec5a,Argentina,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Argentina,Room per night,4e629be6-eddb-4085-becd-7a8289e8ec5a,Argentina,Unknown,GHG_CO2_KGCO2_e,30.5,Unknown
Travel,Accommodation,Hotel Stays,Argentina,Room per night,4e629be6-eddb-4085-becd-7a8289e8ec5a,Argentina,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Argentina,Room per night,4e629be6-eddb-4085-becd-7a8289e8ec5a,Argentina,Unknown,GHG_TOTAL_KGCO2_e,30.5,Unknown
Travel,Accommodation,Hotel Stays,Australia,Room per night,630d9d76-04ed-460f-8b15-9bd098cf3f16,Australia,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Australia,Room per night,630d9d76-04ed-460f-8b15-9bd098cf3f16,Australia,Unknown,GHG_CO2_KGCO2_e,29.9039,Unknown
Travel,Accommodation,Hotel Stays,Australia,Room per night,630d9d76-04ed-460f-8b15-9bd098cf3f16,Australia,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Australia,Room per night,630d9d76-04ed-460f-8b15-9bd098cf3f16,Australia,Unknown,GHG_TOTAL_KGCO2_e,29.9039,Unknown
Travel,Accommodation,Hotel Stays,Austria,Room per night,88473af7-67db-441d-a909-5e780ab3f667,Austria,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Austria,Room per night,88473af7-67db-441d-a909-5e780ab3f667,Austria,Unknown,GHG_CO2_KGCO2_e,8.66548,Unknown
Travel,Accommodation,Hotel Stays,Austria,Room per night,88473af7-67db-441d-a909-5e780ab3f667,Austria,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Austria,Room per night,88473af7-67db-441d-a909-5e780ab3f667,Austria,Unknown,GHG_TOTAL_KGCO2_e,8.66548,Unknown
Travel,Accommodation,Hotel Stays,Belgium,Room per night,7f730a4e-979e-43a2-8bb4-9a19f01c07cb,Belgium,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Belgium,Room per night,7f730a4e-979e-43a2-8bb4-9a19f01c07cb,Belgium,Unknown,GHG_CO2_KGCO2_e,10.306,Unknown
Travel,Accommodation,Hotel Stays,Belgium,Room per night,7f730a4e-979e-43a2-8bb4-9a19f01c07cb,Belgium,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Belgium,Room per night,7f730a4e-979e-43a2-8bb4-9a19f01c07cb,Belgium,Unknown,GHG_TOTAL_KGCO2_e,10.306,Unknown
Travel,Accommodation,Hotel Stays,Brazil,Room per night,8b77f792-0431-4c4b-9217-2983f1231a40,Brazil,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Brazil,Room per night,8b77f792-0431-4c4b-9217-2983f1231a40,Brazil,Unknown,GHG_CO2_KGCO2_e,11.6152,Unknown
Travel,Accommodation,Hotel Stays,Brazil,Room per night,8b77f792-0431-4c4b-9217-2983f1231a40,Brazil,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Brazil,Room per night,8b77f792-0431-4c4b-9217-2983f1231a40,Brazil,Unknown,GHG_TOTAL_KGCO2_e,11.6152,Unknown
Travel,Accommodation,Hotel Stays,Canada,Room per night,d060e9e7-db15-4a16-9d09-d8be47ca8440,Canada,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Canada,Room per night,d060e9e7-db15-4a16-9d09-d8be47ca8440,Canada,Unknown,GHG_CO2_KGCO2_e,9.99379,Unknown
Travel,Accommodation,Hotel Stays,Canada,Room per night,d060e9e7-db15-4a16-9d09-d8be47ca8440,Canada,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Canada,Room per night,d060e9e7-db15-4a16-9d09-d8be47ca8440,Canada,Unknown,GHG_TOTAL_KGCO2_e,9.99379,Unknown
Travel,Accommodation,Hotel Stays,Caribbean Region,Room per night,6bcc9fe7-8945-4477-b19d-dcd1521dca26,Caribbean Region,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Caribbean Region,Room per night,6bcc9fe7-8945-4477-b19d-dcd1521dca26,Caribbean Region,Unknown,GHG_CO2_KGCO2_e,33.2014,Unknown
Travel,Accommodation,Hotel Stays,Caribbean Region,Room per night,6bcc9fe7-8945-4477-b19d-dcd1521dca26,Caribbean Region,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Caribbean Region,Room per night,6bcc9fe7-8945-4477-b19d-dcd1521dca26,Caribbean Region,Unknown,GHG_TOTAL_KGCO2_e,33.2014,Unknown
Travel,Accommodation,Hotel Stays,Chile,Room per night,a6f2e636-bb29-4d4a-92a9-fc9d5e40070d,Chile,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Chile,Room per night,a6f2e636-bb29-4d4a-92a9-fc9d5e40070d,Chile,Unknown,GHG_CO2_KGCO2_e,23.4645,Unknown
Travel,Accommodation,Hotel Stays,Chile,Room per night,a6f2e636-bb29-4d4a-92a9-fc9d5e40070d,Chile,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Chile,Room per night,a6f2e636-bb29-4d4a-92a9-fc9d5e40070d,Chile,Unknown,GHG_TOTAL_KGCO2_e,23.4645,Unknown
Travel,Accommodation,Hotel Stays,China,Room per night,bc66fdf6-1cf5-4840-a968-3ab00a1067b4,China,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,China,Room per night,bc66fdf6-1cf5-4840-a968-3ab00a1067b4,China,Unknown,GHG_CO2_KGCO2_e,41.9961,Unknown
Travel,Accommodation,Hotel Stays,China,Room per night,bc66fdf6-1cf5-4840-a968-3ab00a1067b4,China,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,China,Room per night,bc66fdf6-1cf5-4840-a968-3ab00a1067b4,China,Unknown,GHG_TOTAL_KGCO2_e,41.9961,Unknown
Travel,Accommodation,Hotel Stays,Colombia,Room per night,d0f98549-3552-4be1-a4ce-26a0de415f5d,Colombia,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Colombia,Room per night,d0f98549-3552-4be1-a4ce-26a0de415f5d,Colombia,Unknown,GHG_CO2_KGCO2_e,11.3694,Unknown
Travel,Accommodation,Hotel Stays,Colombia,Room per night,d0f98549-3552-4be1-a4ce-26a0de415f5d,Colombia,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Colombia,Room per night,d0f98549-3552-4be1-a4ce-26a0de415f5d,Colombia,Unknown,GHG_TOTAL_KGCO2_e,11.3694,Unknown
Travel,Accommodation,Hotel Stays,Costa Rica,Room per night,ac06ad94-4f6e-4f63-9d4e-3e4de3eb1748,Costa Rica,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Costa Rica,Room per night,ac06ad94-4f6e-4f63-9d4e-3e4de3eb1748,Costa Rica,Unknown,GHG_CO2_KGCO2_e,4.63807,Unknown
Travel,Accommodation,Hotel Stays,Costa Rica,Room per night,ac06ad94-4f6e-4f63-9d4e-3e4de3eb1748,Costa Rica,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Costa Rica,Room per night,ac06ad94-4f6e-4f63-9d4e-3e4de3eb1748,Costa Rica,Unknown,GHG_TOTAL_KGCO2_e,4.63807,Unknown
Travel,Accommodation,Hotel Stays,Czech Republic,Room per night,8bb0faea-5c05-4216-818f-8abbfe1693a4,Czech Republic,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Czech Republic,Room per night,8bb0faea-5c05-4216-818f-8abbfe1693a4,Czech Republic,Unknown,GHG_CO2_KGCO2_e,22.0474,Unknown
Travel,Accommodation,Hotel Stays,Czech Republic,Room per night,8bb0faea-5c05-4216-818f-8abbfe1693a4,Czech Republic,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Czech Republic,Room per night,8bb0faea-5c05-4216-818f-8abbfe1693a4,Czech Republic,Unknown,GHG_TOTAL_KGCO2_e,22.0474,Unknown
Travel,Accommodation,Hotel Stays,Dominican Republic,Room per night,c9434e13-d101-4401-b7aa-14f597c80145,Dominican Republic,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Dominican Republic,Room per night,c9434e13-d101-4401-b7aa-14f597c80145,Dominican Republic,Unknown,GHG_CO2_KGCO2_e,38.6601,Unknown
Travel,Accommodation,Hotel Stays,Dominican Republic,Room per night,c9434e13-d101-4401-b7aa-14f597c80145,Dominican Republic,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Dominican Republic,Room per night,c9434e13-d101-4401-b7aa-14f597c80145,Dominican Republic,Unknown,GHG_TOTAL_KGCO2_e,38.6601,Unknown
Travel,Accommodation,Hotel Stays,Ecuador,Room per night,6b40d1a1-3daa-4d6f-9261-192f3a8dba47,Ecuador,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Ecuador,Room per night,6b40d1a1-3daa-4d6f-9261-192f3a8dba47,Ecuador,Unknown,GHG_CO2_KGCO2_e,16.2383,Unknown
Travel,Accommodation,Hotel Stays,Ecuador,Room per night,6b40d1a1-3daa-4d6f-9261-192f3a8dba47,Ecuador,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Ecuador,Room per night,6b40d1a1-3daa-4d6f-9261-192f3a8dba47,Ecuador,Unknown,GHG_TOTAL_KGCO2_e,16.2383,Unknown
Travel,Accommodation,Hotel Stays,Egypt,Room per night,dabf0ee5-ee51-458c-83dc-63daf929cca8,Egypt,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Egypt,Room per night,dabf0ee5-ee51-458c-83dc-63daf929cca8,Egypt,Unknown,GHG_CO2_KGCO2_e,43.4324,Unknown
Travel,Accommodation,Hotel Stays,Egypt,Room per night,dabf0ee5-ee51-458c-83dc-63daf929cca8,Egypt,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Egypt,Room per night,dabf0ee5-ee51-458c-83dc-63daf929cca8,Egypt,Unknown,GHG_TOTAL_KGCO2_e,43.4324,Unknown
Travel,Accommodation,Hotel Stays,Finland,Room per night,da6e4dca-6f8c-4c79-b678-ea274e7538c0,Finland,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Finland,Room per night,da6e4dca-6f8c-4c79-b678-ea274e7538c0,Finland,Unknown,GHG_CO2_KGCO2_e,11.085,Unknown
Travel,Accommodation,Hotel Stays,Finland,Room per night,da6e4dca-6f8c-4c79-b678-ea274e7538c0,Finland,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Finland,Room per night,da6e4dca-6f8c-4c79-b678-ea274e7538c0,Finland,Unknown,GHG_TOTAL_KGCO2_e,11.085,Unknown
Travel,Accommodation,Hotel Stays,France,Room per night,ca0eafa2-db30-4e63-86ca-c78affa0b640,France,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,France,Room per night,ca0eafa2-db30-4e63-86ca-c78affa0b640,France,Unknown,GHG_CO2_KGCO2_e,6.99968,Unknown
Travel,Accommodation,Hotel Stays,France,Room per night,ca0eafa2-db30-4e63-86ca-c78affa0b640,France,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,France,Room per night,ca0eafa2-db30-4e63-86ca-c78affa0b640,France,Unknown,GHG_TOTAL_KGCO2_e,6.99968,Unknown
Travel,Accommodation,Hotel Stays,Georgia,Room per night,770d7941-6133-4823-8f13-6560cb94642d,Georgia,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Georgia,Room per night,770d7941-6133-4823-8f13-6560cb94642d,Georgia,Unknown,GHG_CO2_KGCO2_e,23.6745,Unknown
Travel,Accommodation,Hotel Stays,Georgia,Room per night,770d7941-6133-4823-8f13-6560cb94642d,Georgia,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Georgia,Room per night,770d7941-6133-4823-8f13-6560cb94642d,Georgia,Unknown,GHG_TOTAL_KGCO2_e,23.6745,Unknown
Travel,Accommodation,Hotel Stays,Germany,Room per night,25b62bac-ab7f-4d1f-90d9-88bd5edb5ae6,Germany,Unknown,GHG_CH4_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Germany,Room per night,25b62bac-ab7f-4d1f-90d9-88bd5edb5ae6,Germany,Unknown,GHG_CO2_KGCO2_e,13.5052,Unknown
Travel,Accommodation,Hotel Stays,Germany,Room per night,25b62bac-ab7f-4d1f-90d9-88bd5edb5ae6,Germany,Unknown,GHG_N2O_KGCO2_e,0,Unknown
Travel,Accommodation,Hotel Stays,Germany,Room per night,25b62bac-ab7f-4d1f-90d9-88bd5edb5ae6,Germany,Unknown,GHG_TOTAL_KGCO2_e,13.5052,Unknown
Travel,Accommodation,Hotel Stays,Greece,Room per night,0db308f7-5aa1-48ea-ad32-124f7febe9e9,Greece,Unknown,GHG_CH4_KGCO2_e,0,Unknown
