Page,Section,SubSection,EmissionsFactorLabel,Unit,UUID,Type,Assumptions,GHG,EmissionFactor,Uncertainties
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Goats,per head,c243cdf7-1222-4c65-ad8d-096bdf7286ec,Goats,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Goats,per head,c243cdf7-1222-4c65-ad8d-096bdf7286ec,Goats,,GHG_TOTAL_KGCO2_e,250.968,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Horses,per head,25b009f1-50ab-4bf0-9010-2f93b55be9ba,Horses,,GHG_CH4_KGCO2_e,504,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Horses,per head,25b009f1-50ab-4bf0-9010-2f93b55be9ba,Horses,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Horses,per head,25b009f1-50ab-4bf0-9010-2f93b55be9ba,Horses,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Horses,per head,25b009f1-50ab-4bf0-9010-2f93b55be9ba,Horses,,GHG_TOTAL_KGCO2_e,504,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Mules and asses,per head,7df5a8f6-34d5-4550-b45b-6381e1c662dd,Mules and asses,,GHG_CH4_KGCO2_e,280,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Mules and asses,per head,7df5a8f6-34d5-4550-b45b-6381e1c662dd,Mules and asses,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Mules and asses,per head,7df5a8f6-34d5-4550-b45b-6381e1c662dd,Mules and asses,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Mules and asses,per head,7df5a8f6-34d5-4550-b45b-6381e1c662dd,Mules and asses,,GHG_TOTAL_KGCO2_e,280,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Non-dairy cattle,per head,728f2ac2-65f5-417e-800e-b82757d52ebb,Non-dairy cattle,,GHG_CH4_KGCO2_e,1945.82,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Non-dairy cattle,per head,728f2ac2-65f5-417e-800e-b82757d52ebb,Non-dairy cattle,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Non-dairy cattle,per head,728f2ac2-65f5-417e-800e-b82757d52ebb,Non-dairy cattle,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Non-dairy cattle,per head,728f2ac2-65f5-417e-800e-b82757d52ebb,Non-dairy cattle,,GHG_TOTAL_KGCO2_e,1945.82,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Poultry,per head,4a299c28-2ede-4575-bf78-af941629ed09,Poultry,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Poultry,per head,4a299c28-2ede-4575-bf78-af941629ed09,Poultry,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Poultry,per head,4a299c28-2ede-4575-bf78-af941629ed09,Poultry,,GHG_TOTAL_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Sheep,per head,9f66cf69-56b7-417d-942a-bb6b0b0369f4,Sheep,,GHG_CH4_KGCO2_e,348.506,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Sheep,per head,9f66cf69-56b7-417d-942a-bb6b0b0369f4,Sheep,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Sheep,per head,9f66cf69-56b7-417d-942a-bb6b0b0369f4,Sheep,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Sheep,per head,9f66cf69-56b7-417d-942a-bb6b0b0369f4,Sheep,,GHG_TOTAL_KGCO2_e,348.506,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Swine,per head,7f17b34e-4e9b-4edd-a6db-d9a2104b1e15,Swine,,GHG_CH4_KGCO2_e,25.5733,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Swine,per head,7f17b34e-4e9b-4edd-a6db-d9a2104b1e15,Swine,,GHG_CO2_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Swine,per head,7f17b34e-4e9b-4edd-a6db-d9a2104b1e15,Swine,,GHG_N2O_KGCO2_e,0,15.5%
"Agriculture, forestry and other land uses",Enteric fermentation,Enteric fermentation,Swine,per head,7f17b34e-4e9b-4edd-a6db-d9a2104b1e15,Swine,,GHG_TOTAL_KGCO2_e,25.5733,15.5%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Dolomite,kg,87b251e3-aa26-458d-b9f5-30bc61192df3,Dolomite,,GHG_CH4_KGCO2_e,0,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Dolomite,kg,87b251e3-aa26-458d-b9f5-30bc61192df3,Dolomite,,GHG_CO2_KGCO2_e,0.476667,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Dolomite,kg,87b251e3-aa26-458d-b9f5-30bc61192df3,Dolomite,,GHG_N2O_KGCO2_e,0,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Dolomite,kg,87b251e3-aa26-458d-b9f5-30bc61192df3,Dolomite,,GHG_TOTAL_KGCO2_e,0.476667,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Limestone,kg,8df188a4-cbc7-4373-9f61-f4ad602dd03d,Limestone,,GHG_CH4_KGCO2_e,0,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Limestone,kg,8df188a4-cbc7-4373-9f61-f4ad602dd03d,Limestone,,GHG_CO2_KGCO2_e,0.3608,CO2 -50% to 0%
"Agriculture, forestry and other land uses",Fertiliser use,Fertiliser use,Limestone,kg,8df188a4-cbc7-4373-9f61-f4ad602dd03d,Limestone,,GHG_N2O_KGCO2_e,0,CO2 -50% to 0%
